Position (cm^-1)	Sample Intensity (V)
1780	2.14233077713288e-4
1785	2.08439858397469e-4
1790	1.99814545339905e-4
1795	1.8917370471172e-4
1800	1.77335823536851e-4
1805	1.6611855244264e-4
1810	1.56636044266634e-4
1815	1.50335938087665e-4
1820	1.47900354932062e-4
1825	1.50174426380545e-4
1830	1.53800603584386e-4
1835	1.54900437337346e-4
1840	1.50485124322586e-4
1845	1.39705880428664e-4
1850	1.22870507766493e-4
1855	1.01933001133148e-4
1860	8.13383521744981e-5
1865	6.27556510153227e-5
1870	4.90710226586089e-5
1875	4.47457205154933e-5
1875	4.49860126536805e-5
